,dbn,school_name,num_test_takers,reading_avg_score,math_avg_score,writing_avg_score
370,23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331
371,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311
372,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332
373,23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388
374,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421
375,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400
376,24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407
377,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311
378,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550
379,24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380
381,24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396
382,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385
383,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329
384,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380
385,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440
386,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406
387,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423
389,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443
390,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318
391,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392
392,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481
393,25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395
394,25Q460,FLUSHING HIGH SCHOOL,347,393,441,382
395,25Q467,FLUSHING YABC,9,378,373,344
396,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638
397,25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388
398,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441
399,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377
400,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489
401,26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467
402,26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384
403,26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464
404,26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420
405,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373
406,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401
407,27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364
408,27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416
409,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348
410,27Q323,SCHOLARS' ACADEMY,89,499,537,496
411,27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360
412,27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354
413,27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368
414,27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392
415,27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425
417,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400
419,28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367
420,28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425
421,28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454
422,28Q470,JAMAICA HIGH SCHOOL,90,342,368,353
423,28Q505,HILLCREST HIGH SCHOOL,462,395,413,386
424,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442
425,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502
427,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596
428,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384
429,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432
430,29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359
431,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375
432,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402
433,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424
434,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363
436,29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394
437,29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
438,29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359
439,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377
441,30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405
442,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412
443,30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395
444,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494
445,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398
446,30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329
447,30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491
448,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544
449,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450
450,31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385
451,31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466
452,31R440,NEW DORP HIGH SCHOOL,391,424,437,416
453,31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417
454,31R450,CURTIS HIGH SCHOOL,375,437,435,429
455,31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470
456,31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459
457,31R470,CONCORD HIGH SCHOOL,10,466,455,414
458,31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
459,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636
460,31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370
461,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352
462,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361
463,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334
464,32K552,ACADEMY OF URBAN PLANNING,67,342,364,354
465,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422
466,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350
467,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358
471,75Q811,P.S. Q811,32,429,444,433
476,79Q950,GED PLUS s CITYWIDE,8,496,400,426
477,79X490,PHOENIX ACADEMY,9,367,370,360
